City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2022-08-15 23:41:29,28.017,-97.5169,89.49,66,100,12.17
68,Dikson,RU,2022-08-15 23:41:30,73.5069,80.5464,41.18,96,100,21.05
69,Puerto Ayora,EC,2022-08-15 23:41:30,-0.7393,-90.3518,70.56,92,95,5.01
70,Hermanus,ZA,2022-08-15 23:41:31,-34.4187,19.2345,47.8,60,100,5.03
71,Raga,SS,2022-08-15 23:41:31,8.4596,25.678,68.29,98,97,3.38
72,Ostrovnoy,RU,2022-08-15 23:41:32,68.0531,39.5131,52.07,77,74,12.75
73,Yellowknife,CA,2022-08-15 23:41:03,62.456,-114.3525,73.92,64,20,12.66
74,Evensk,RU,2022-08-15 23:41:33,61.95,159.2333,54.79,91,100,35.05
75,Mawlaik,MM,2022-08-15 23:41:33,23.6333,94.4167,76.59,89,26,0.56
76,General Pico,AR,2022-08-15 23:41:34,-35.6566,-63.7568,47.35,27,43,0.11
77,Bethel,US,2022-08-15 23:41:35,41.3712,-73.414,78.03,59,91,5.53
78,Karratha,AU,2022-08-15 23:41:35,-20.7377,116.8463,74.88,70,0,1.86
79,Ginir,ET,2022-08-15 23:41:36,7.1333,40.7,57.97,83,36,6.26
80,Ambilobe,MG,2022-08-15 23:41:36,-13.2,49.05,64.38,86,31,4.47
81,Shepsi,RU,2022-08-15 23:41:37,44.0361,39.1489,77.88,82,30,6.67
82,Chancay,PE,2022-08-15 23:41:37,-11.5714,-77.2672,60.44,85,29,9.15
83,Santa Marinella,IT,2022-08-15 23:41:38,42.0345,11.8536,76.91,92,5,15.68
84,Jamestown,US,2022-08-15 23:38:50,42.097,-79.2353,72.99,60,100,10.36
85,Qaanaaq,GL,2022-08-15 23:41:39,77.484,-69.3632,41.7,81,96,2.98
86,Cherskiy,RU,2022-08-15 23:41:39,68.75,161.3,57.51,47,12,9.95
87,Codrington,AU,2022-08-15 23:41:40,-38.2667,141.9667,53.46,82,50,18.9
88,Nome,US,2022-08-15 23:41:40,64.5011,-165.4064,48.16,66,75,8.05
89,Esperance,AU,2022-08-15 23:41:41,-33.8667,121.9,58.84,78,100,15.19
90,Iqaluit,CA,2022-08-15 23:41:41,63.7506,-68.5145,47.93,61,100,10.36
91,Mount Gambier,AU,2022-08-15 23:42:42,-37.8333,140.7667,51.71,87,75,18.41
92,West Wendover,US,2022-08-15 23:42:43,40.7391,-114.0733,92.41,17,0,4.61
93,Harlingen,US,2022-08-15 23:42:30,26.1906,-97.6961,89.69,77,0,13.8
94,Cape Town,ZA,2022-08-15 23:40:21,-33.9258,18.4232,56.37,79,0,4.61
95,Aswan,EG,2022-08-15 23:42:44,24.0934,32.907,88.9,25,0,10.36
96,Cairns,AU,2022-08-15 23:42:44,-16.9167,145.7667,75.07,70,35,6.91
97,Abu Samrah,SY,2022-08-15 23:42:45,35.3029,37.1841,71.69,67,0,5.35
98,Punta Arenas,CL,2022-08-15 23:42:45,-53.15,-70.9167,37.51,87,20,17.27
99,Coihaique,CL,2022-08-15 23:42:46,-45.5752,-72.0662,38.01,87,75,8.05
100,Mollendo,PE,2022-08-15 23:42:46,-17.0231,-72.0147,58.64,86,93,10.4
101,Saucillo,MX,2022-08-15 23:42:47,28.0167,-105.2833,91.06,25,68,20.56
102,East London,ZA,2022-08-15 23:42:47,-33.0153,27.9116,54.37,60,55,10.69
103,Verkhoyansk,RU,2022-08-15 23:42:48,67.5447,133.385,65.62,65,100,2.71
104,Marks,RU,2022-08-15 23:42:48,51.7111,46.7486,65.48,50,4,11.43
105,Tura,IN,2022-08-15 23:42:49,25.5198,90.2201,73.53,97,36,3.8
106,Nelson Bay,AU,2022-08-15 23:42:49,-32.7167,152.15,59.09,70,49,10.0
107,Wamba,NG,2022-08-15 23:42:50,8.9333,8.6,69.55,97,100,2.75
108,Boueni,YT,2022-08-15 23:42:51,-12.9025,45.0761,73.38,72,6,6.31
109,Saint-Philippe,RE,2022-08-15 23:42:51,-21.3585,55.7679,65.79,77,41,9.44
110,Atuona,PF,2022-08-15 23:42:51,-9.8,-139.0333,76.48,77,10,16.31
111,Shieli,KZ,2022-08-15 23:42:52,44.1667,66.75,74.95,26,0,15.19
112,Vostok,RU,2022-08-15 23:42:52,46.4856,135.8833,67.64,67,28,4.61
113,Lagoa,PT,2022-08-15 23:42:53,39.05,-27.9833,71.69,71,96,18.25
114,Yichun,CN,2022-08-15 23:42:54,47.7,128.9,67.42,68,0,2.86
115,Hegang,CN,2022-08-15 23:42:54,47.4,130.3667,71.85,61,0,8.32
116,Bluff,NZ,2022-08-15 23:42:55,-46.6,168.3333,50.81,68,69,3.76
117,Kruisfontein,ZA,2022-08-15 23:42:55,-34.0033,24.7314,49.26,47,100,7.16
118,Nyurba,RU,2022-08-15 23:42:56,63.2842,118.3319,53.65,84,97,4.74
119,Mehamn,NO,2022-08-15 23:42:57,71.0357,27.8492,51.71,100,100,3.44
120,Tuktoyaktuk,CA,2022-08-15 23:42:57,69.4541,-133.0374,53.6,82,100,9.22
121,Te Anau,NZ,2022-08-15 23:42:58,-45.4167,167.7167,53.85,84,81,3.24
122,Port Alfred,ZA,2022-08-15 23:42:58,-33.5906,26.891,49.17,83,69,13.02
123,Nideggen,DE,2022-08-15 23:42:59,50.7,6.4833,67.08,83,66,6.42
124,Asau,RO,2022-08-15 23:42:59,46.4333,26.4,63.52,90,93,5.03
125,Kaduqli,SD,2022-08-15 23:43:00,11.0167,29.7167,68.54,92,100,2.98
126,Lompoc,US,2022-08-15 23:43:01,34.6391,-120.4579,72.84,78,0,13.8
127,Quatre Cocos,MU,2022-08-15 23:43:01,-20.2078,57.7625,68.11,74,88,11.9
128,Bathsheba,BB,2022-08-15 23:43:02,13.2167,-59.5167,83.01,78,40,14.97
129,Verkh-Chebula,RU,2022-08-15 23:43:02,56.0308,87.6218,49.48,93,100,11.32
130,Port Elizabeth,ZA,2022-08-15 23:43:03,-33.918,25.5701,48.49,89,0,5.75
131,Sao Filipe,CV,2022-08-15 23:43:03,14.8961,-24.4956,78.06,78,76,4.52
132,Pevek,RU,2022-08-15 23:43:04,69.7008,170.3133,35.92,88,30,1.95
133,Panzhihua,CN,2022-08-15 23:43:04,26.5851,101.7128,73.45,90,95,1.25
134,Georgetown,MY,2022-08-15 23:43:05,5.4112,100.3354,81.9,89,20,5.01
135,Nha Trang,VN,2022-08-15 23:41:57,12.25,109.1833,77.0,80,98,5.01
136,Siniscola,IT,2022-08-15 23:43:06,40.5719,9.6922,76.55,82,27,6.58
137,Crawfordsville,US,2022-08-15 23:44:06,40.0411,-86.8745,78.12,49,40,3.44
138,Arlit,NE,2022-08-15 23:44:07,18.7369,7.3853,90.01,36,79,9.95
139,Grand Gaube,MU,2022-08-15 23:44:07,-20.0064,57.6608,68.4,77,99,5.01
140,Arraial Do Cabo,BR,2022-08-15 23:44:08,-22.9661,-42.0278,69.76,73,0,17.27
141,Naryan-Mar,RU,2022-08-15 23:44:08,67.6713,53.087,48.42,65,100,11.39
142,Chicama,PE,2022-08-15 23:44:09,-7.8447,-79.1469,57.74,82,33,8.12
143,Tasiilaq,GL,2022-08-15 23:44:09,65.6145,-37.6368,44.76,71,16,1.14
144,Kapaa,US,2022-08-15 23:44:10,22.0752,-159.319,84.18,67,0,11.5
