,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Colomi,BO,-17.35,-65.8667,51.82,75,74,2.57,broken clouds
79,Altamira,BR,-3.2033,-52.2064,79.92,45,85,2.62,overcast clouds
80,Bitung,ID,1.4451,125.1824,85.05,77,82,14.41,broken clouds
81,Hilo,US,19.7297,-155.09,87.28,80,100,6.91,overcast clouds
82,Paraiso,CR,9.8383,-83.8656,72.46,96,78,3.15,broken clouds
83,Flin Flon,CA,54.7682,-101.865,80.92,36,0,5.91,clear sky
84,Bardiyah,LY,31.7561,25.0865,78.6,81,0,12.26,clear sky
85,Kapaa,US,22.0752,-159.319,85.98,68,75,13.8,broken clouds
86,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,12.66,scattered clouds
87,Hobart,AU,-42.8794,147.3294,45.05,76,20,14.97,few clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,10.36,light rain
89,Carnarvon,AU,-24.8667,113.6333,64.74,34,27,14.54,scattered clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,64.9,74,100,22.06,overcast clouds
91,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,47.61,37,0,6.8,clear sky
92,Parakou,BJ,9.3372,2.6303,69.49,94,97,4.76,overcast clouds
93,Coolum Beach,AU,-26.5333,153.1,70.34,55,10,7.23,clear sky
94,Provideniya,RU,64.3833,-173.3,46.4,81,97,10.58,overcast clouds
95,Carlisle,US,40.2015,-77.1889,83.62,61,81,5.32,broken clouds
96,Launceston,AU,-41.45,147.1667,49.8,68,24,10.36,few clouds
97,Tyler,US,32.3513,-95.3011,89.65,61,0,17.27,clear sky
98,San Pedro,PH,14.35,121.0167,81.63,88,75,0.0,moderate rain
99,East London,ZA,-33.0153,27.9116,57.36,68,6,16.08,clear sky
100,Pevek,RU,69.7008,170.3133,45.36,62,0,8.41,clear sky
101,Agadez,NE,19.75,10.25,87.08,35,21,9.4,few clouds
102,Orzhytsya,UA,49.7918,32.7012,60.94,90,2,6.13,clear sky
103,Douentza,ML,14.9951,-2.9517,74.89,74,99,19.1,light rain
104,La Reforma,MX,25.0833,-108.05,85.73,69,40,9.46,scattered clouds
105,Avarua,CK,-21.2078,-159.775,75.25,83,0,10.36,clear sky
106,Saskylakh,RU,71.9167,114.0833,39.83,70,100,10.29,overcast clouds
107,Tromso,NO,69.6496,18.957,56.37,82,0,2.3,clear sky
108,Xinzhou,CN,38.4092,112.7333,68.92,62,45,1.72,scattered clouds
109,Am Timan,TD,11.0297,20.2827,71.19,93,92,3.09,overcast clouds
110,Sakaiminato,JP,35.55,133.2333,84.18,84,75,11.5,broken clouds
111,Clyde River,CA,70.4692,-68.5914,35.83,100,100,18.41,fog
112,Bethel,US,41.3712,-73.414,82.54,56,77,1.99,broken clouds
113,Pacific Grove,US,36.6177,-121.9166,79.02,84,75,8.05,broken clouds
114,Narsaq,GL,60.9167,-46.05,50.22,57,95,1.59,overcast clouds
115,Husavik,IS,66.0449,-17.3389,48.31,99,100,13.22,overcast clouds
116,Chuy,UY,-33.6971,-53.4616,44.04,70,2,6.11,clear sky
117,Adrar,MR,20.5022,-10.0711,91.54,39,3,8.03,clear sky
118,Bivolari,RO,47.5333,27.4333,73.2,63,16,3.22,light rain
119,Upernavik,GL,72.7868,-56.1549,38.1,84,100,5.66,overcast clouds
120,Bengkulu,ID,-3.8004,102.2655,75.67,88,100,4.18,overcast clouds
121,Esperance,AU,-33.8667,121.9,58.39,76,91,4.45,overcast clouds
122,Kiunga,PG,-6.1219,141.2906,74.34,82,100,3.87,overcast clouds
123,Simpang,ID,-1.2667,104.0833,75.45,93,93,2.89,overcast clouds
124,Cape Town,ZA,-33.9258,18.4232,57.38,70,20,14.97,light rain
125,Puksoozero,RU,62.5903,40.6066,56.61,74,99,5.39,overcast clouds
126,Gusau,NG,12.1628,6.6614,71.82,92,81,8.01,light rain
127,Sept-Iles,CA,50.2001,-66.3821,73.92,75,75,3.44,broken clouds
128,Lagoa,PT,39.05,-27.9833,71.1,72,9,2.73,clear sky
129,Komsomolskiy,UZ,40.4272,71.7189,74.12,27,1,4.61,clear sky
130,Buala,SB,-8.145,159.5921,82.9,74,36,11.68,light rain
131,Musoma,TZ,-1.5,33.8,71.71,70,41,6.15,scattered clouds
132,New Norfolk,AU,-42.7826,147.0587,45.72,74,18,4.0,few clouds
133,Barcelos,PT,41.5388,-8.6151,75.69,54,0,4.47,clear sky
134,Vieste,IT,41.8825,16.175,74.66,82,88,18.7,overcast clouds
135,Hamilton,US,39.1834,-84.5333,83.25,55,40,4.61,scattered clouds
136,Talnakh,RU,69.4865,88.3972,49.21,94,100,7.0,light rain
137,Chokurdakh,RU,70.6333,147.9167,67.59,47,13,14.43,few clouds
138,San Isidro,PE,-12.1167,-77.05,66.02,75,100,9.22,overcast clouds
139,Miracema Do Tocantins,BR,-9.5618,-48.3967,81.27,25,2,3.65,clear sky
140,Praia,CV,14.9215,-23.5087,79.34,78,75,16.11,broken clouds
141,Saint-Augustin,CA,51.226,-58.6502,62.49,93,96,2.33,overcast clouds
142,Salalah,OM,17.0151,54.0924,75.29,100,100,4.61,mist
143,Vao,NC,-22.6667,167.4833,68.97,71,20,10.92,few clouds
144,Bodden Town,KY,19.2833,-81.25,86.94,78,20,9.22,few clouds
145,Beeville,US,28.4008,-97.7483,91.29,58,0,13.8,clear sky
146,Kalpi,IN,26.1167,79.7333,85.35,71,100,5.32,heavy intensity rain
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.79,73,99,27.29,overcast clouds
148,Price,US,39.5994,-110.8107,67.26,72,100,8.05,overcast clouds
149,Mehamn,NO,71.0357,27.8492,64.31,88,100,2.3,overcast clouds
150,Kruisfontein,ZA,-34.0033,24.7314,55.89,84,81,32.57,moderate rain
151,West Bay,KY,19.3667,-81.4167,87.01,78,20,9.22,few clouds
152,Broome,US,42.2506,-75.833,78.21,52,44,2.28,scattered clouds
153,Butaritari,KI,3.0707,172.7902,81.07,75,10,6.82,clear sky
154,Acapulco,MX,16.8634,-99.8901,85.82,66,40,4.61,scattered clouds
155,Totness,SR,5.8833,-56.3167,79.2,87,100,12.73,overcast clouds
156,Maningrida,AU,-12.0667,134.2667,75.96,53,22,14.12,few clouds
157,Kaitangata,NZ,-46.2817,169.8464,53.4,74,27,4.43,scattered clouds
158,Mar Del Plata,AR,-38.0023,-57.5575,50.02,71,0,6.91,clear sky
159,Port Moresby,PG,-9.4431,147.1797,76.42,78,40,12.66,haze
160,Christchurch,NZ,-43.5333,172.6333,56.32,91,75,9.22,light rain
161,Ambilobe,MG,-13.2,49.05,63.64,79,0,4.27,clear sky
162,Letpadan,MM,17.7833,95.75,76.42,95,100,4.03,overcast clouds
163,Kati,ML,12.7441,-8.0726,76.41,83,72,3.49,broken clouds
164,Georgetown,MY,5.4112,100.3354,80.89,89,20,2.3,few clouds
165,Klaksvik,FO,62.2266,-6.589,50.92,89,74,19.01,broken clouds
166,Bhadrachalam,IN,17.6667,80.8833,76.69,93,100,2.46,overcast clouds
167,California City,US,35.1258,-117.9859,104.16,14,0,23.02,clear sky
168,Souillac,MU,-20.5167,57.5167,71.98,78,40,12.66,scattered clouds
169,Huarmey,PE,-10.0681,-78.1522,62.47,83,9,10.22,clear sky
170,Saint-Philippe,RE,-21.3585,55.7679,66.22,76,40,11.43,scattered clouds
171,Kodiak,US,57.79,-152.4072,54.91,100,100,5.75,moderate rain
172,Luderitz,NA,-26.6481,15.1594,56.28,66,0,15.1,clear sky
173,Havoysund,NO,70.9963,24.6622,59.23,89,99,3.98,overcast clouds
174,Lompoc,US,34.6391,-120.4579,73.85,76,0,14.97,mist
175,Jurmala,LV,56.968,23.7704,71.62,68,0,9.22,clear sky
176,Kloulklubed,PW,7.0419,134.2556,79.3,73,35,3.24,scattered clouds
177,Dedougou,BF,12.4667,-3.4667,70.86,91,98,4.38,light rain
178,Cherskiy,RU,68.75,161.3,64.99,31,0,20.36,clear sky
179,Asansol,IN,23.6833,86.9833,77.67,91,100,19.62,light rain
